name,clubCode,position,tierLabel,xg90,xa90,xgi90,dc90,cs_prob,ffpl_pgw,next6_pgw,role,draft_now,draft_x,spike_gw,impact,season_points,status,flags,role_note
Maatsen,AVL,DEF,1,0.07,0.11,0.18,7.38,0.24,1.49,1.33,1.0,1.33,1.41,1.68,1.49,0.0,a,,
Robertson,TOT,DEF,3,0.08,0.09,0.17,5.43,0.23,1.28,1.42,1.0,1.42,1.47,1.51,1.48,3.0,a,NEW-CLUB,
Ndoye,NFO,MID,3,0.1,0.12,0.22,7.59,0.23,1.32,1.4,1.0,1.4,1.38,1.69,1.48,3.0,a,,
Tchaouna,COV,MID,3,0.1,0.08,0.19,5.91,0.17,1.47,1.44,1.0,1.44,1.37,1.68,1.47,2.0,a,NEW-CLUB,
Isidor,SUN,FWD,2,0.41,0.04,0.45,4.15,0.26,1.57,1.64,0.9,1.48,1.42,1.71,1.46,1.0,a,,
Henderson,CHE,MID,2,0.04,0.11,0.16,8.46,0.25,1.69,1.87,0.75,1.41,1.37,2.2,1.45,0.0,d,"NEW-CLUB, DOUBT-75%",
Diarra,SUN,MID,2,0.19,0.08,0.26,5.93,0.26,1.58,1.64,0.9,1.48,1.41,1.72,1.45,1.0,a,PEN,
McNeil,CRY,MID,3,0.11,0.14,0.26,8.38,0.27,1.31,1.4,1.0,1.4,1.43,1.46,1.44,2.0,a,NEW-CLUB,
Pau,AVL,DEF,1,0.07,0.03,0.1,6.48,0.24,1.48,1.32,1.0,1.32,1.34,1.66,1.43,0.0,a,,
Mitoma,BHA,MID,2,0.19,0.14,0.33,6.22,0.27,1.86,1.78,0.75,1.33,1.39,2.03,1.43,0.0,i,,
Gallagher,TOT,MID,3,0.11,0.08,0.18,8.94,0.23,1.36,1.5,0.9,1.35,1.35,1.74,1.42,0.0,a,,
Mainoo,MUN,MID,1,0.05,0.08,0.14,9.59,0.27,1.44,1.47,0.9,1.33,1.29,1.69,1.36,1.0,a,,
King,FUL,MID,2,0.16,0.07,0.23,7.62,0.24,1.42,1.28,1.0,1.28,1.28,1.55,1.36,7.0,a,,
J.Ramsey,NEW,MID,2,0.09,0.1,0.19,8.91,0.28,1.61,1.46,0.9,1.32,1.26,1.74,1.35,0.0,a,,
Morato,NFO,DEF,3,0.08,0.02,0.1,9.07,0.23,1.58,1.68,0.75,1.26,1.28,2.0,1.34,0.0,a,,
