web_name,short_name,position,price,proj_pgw,proj_season,proj_next6_pgw,value,exp_mins_gw,attack_pts,cs_pts,defcon_pts,save_pts,bonus_pts,appearance_pts,conceded_pts,card_pts,xg90,xa90,dc90,cs_prob,fdr_next6,selected_by_percent,status,flags
Gvardiol,MCI,DEF,5.5,1.868,70.985,1.868,0.34,36.053,0.363,0.648,0.155,0.0,0.104,0.656,0.0,-0.058,0.12,0.049,7.125,0.382,3.0,11.1,a,
Henderson,CHE,MID,5.0,1.849,70.262,1.849,0.37,50.289,0.36,0.149,0.175,0.0,0.122,0.914,0.27,-0.142,0.043,0.113,8.461,0.252,3.0,0.0,d,"NEW-CLUB, DOUBT-75%"
Rodrigo,MCI,MID,6.5,1.849,70.257,1.849,0.284,39.737,0.344,0.179,0.399,0.0,0.131,0.722,0.151,-0.077,0.086,0.141,11.049,0.382,3.0,0.0,u,
Lukić,IPS,MID,5.0,1.842,69.981,1.842,0.368,45.526,0.472,0.093,0.223,0.0,0.102,0.828,0.32,-0.197,0.12,0.107,9.118,0.174,3.0,0.1,a,NEW-CLUB
Canvot,CRY,DEF,5.0,1.825,69.36,1.825,0.365,35.026,0.167,0.45,0.482,0.0,0.165,0.637,0.0,-0.075,0.087,0.033,10.345,0.273,3.0,0.4,a,
Spence,TOT,DEF,4.5,1.812,68.856,1.812,0.403,53.921,0.198,0.572,0.085,0.0,0.081,0.98,0.0,-0.105,0.044,0.073,5.74,0.226,3.0,1.8,u,
Kudus,TOT,MID,6.5,1.775,67.462,1.775,0.273,40.395,0.54,0.107,0.096,0.0,0.147,0.734,0.228,-0.077,0.118,0.138,7.843,0.226,3.0,0.1,d,DOUBT-75%
Mitoma,BHA,MID,6.0,1.762,66.945,1.762,0.294,45.105,0.614,0.143,0.027,0.0,0.069,0.82,0.207,-0.119,0.191,0.14,6.225,0.269,3.0,0.1,i,
Khusanov,MCI,DEF,5.5,1.748,66.428,1.748,0.318,37.553,0.145,0.675,0.23,0.0,0.074,0.683,0.0,-0.058,0.046,0.07,7.812,0.382,3.0,1.8,a,
De Cuyper,BHA,DEF,4.5,1.747,66.375,1.747,0.388,36.947,0.461,0.468,0.036,0.0,0.167,0.672,0.0,-0.058,0.092,0.2,5.252,0.269,3.0,1.7,a,
J.Murphy,NEW,MID,6.0,1.729,65.706,1.735,0.288,42.263,0.568,0.137,0.017,0.0,0.117,0.768,0.181,-0.059,0.161,0.143,5.836,0.277,2.833,0.2,a,
Talbi,SUN,MID,5.5,1.715,65.174,1.715,0.312,40.868,0.496,0.126,0.021,0.0,0.132,0.743,0.218,-0.02,0.125,0.085,6.063,0.263,3.0,0.2,a,
